YEAR;TMAX;TMIN;TMED
1971;14;7.3;9.4
1971;11.6;-0.8;7.7
1971;15.8;2.6;8.6
1971;16;3.7;8.4
1971;18;9.5;10.8
1971;18.1;11.2;14.3
1971;20.7;11.6;14.5
1971;20;11.2;15
1971;16.5;7.8;12.4
1971;19.5;6.4;13.8
1971;17.2;9.2;13.7
1971;16.9;6.2;10.8
1971;11;4;7.5
1971;16.7;7;12.2
1971;17.5;4.5;11
1971;21.1;6.6;13.2
1971;13.9;3.5;9.1
1971;12.1;2;6.7
1971;15;4.9;10.2
1971;12.1;9.8;11.1
1971;18.5;1.5;12.4
1971;19;6.5;14.2
1971;16.5;7.3;11.6
1971;18;4.1;10.4
1971;22.8;3;13.1
1971;21;7.7;14.4
1971;20.4;9.8;16
1971;16.4;9.3;11
1971;11;2.8;6.7
1971;10;2.5;6.3
1971;17;1;8.4
1971;18;1.8;10.9
1971;19.6;7.3;13.6
1971;21.5;8.1;14.4
1971;23.8;8.5;16.4
1971;25;9.5;17.1
1971;23;9.2;15.8
1971;20.5;9.6;14.9
1971;18.8;7.8;13.8
1971;20.2;11.9;15.3
1971;15.1;9.5;12.7
1971;11.9;4.1;8.1
1971;10.5;1.5;5
1971;11;1.9;6.3
1971;14;-1;7.2
1971;14.5;4;9.7
1971;18.5;7;12
1971;11.5;5.7;9.2
1971;14.1;4.5;10.6
1971;11.9;3;7.8
1971;10.2;1.9;6.6
1971;17;-1;8.6
1971;20;4.5;12.5
1971;19.9;7.8;13.4
1971;23.1;6;14.8
1971;23;9.9;15.8
1971;25;12.9;17.6
1971;24.5;12.9;17.6
1971;24.5;10.2;16.9
1971;24.1;10;17.5
1971;20;12;15.4
1971;17.5;7;13.3
1971;20.5;4.9;13
1971;25;7;14.7
1971;25;5.6;16.6
1971;29;7.7;18.2
1971;22.9;9.5;15.5
1971;29.4;8.2;18.3
1971;15.2;9.5;13.3
1971;25;10.6;18.8
1971;22.5;10.1;17.2
1971;22;8.5;13.8
1971;22.5;6.3;13.3
1971;20.9;5;14.6
1971;19.5;5.8;12.7
1971;21.6;4;13.9
1971;25;5.6;17.6
1971;23.5;4.9;14.8
1971;22;2.5;13.4
1971;21.5;6.6;15
1971;21;10.7;15
1971;21.5;6.5;14.4
1971;27.6;8.5;18.5
1971;29.4;6.9;19.1
1971;27;5.2;14.9
1971;27.5;2.5;16.8
1971;20.8;7.4;14.3
1971;22;5.5;13.1
1971;26.5;5;17.4
1971;30.5;12.9;21.7
1971;30.2;12.9;21.4
1971;31.3;14;22.6
1971;32.5;13.4;20.5
1971;25;5.2;16.1
1971;20.5;5.8;13.2
1971;21.5;4.5;15.5
1971;31.8;14.6;22.6
1971;27.6;15.4;21
1971;31;12;20.2
1971;25.6;10.5;18.1
1971;33.5;12.4;19.2
1971;26.5;10.9;16.6
1971;16;5;9.7
1971;12.6;2;6.7
1971;19.6;0.5;11.2
1971;23;7.7;15
1971;26;7.1;17.4
1971;32;10;21.2
1971;26;9.2;16.2
1971;30.2;7.5;19.8
1971;29.5;8.4;19.9
1971;28;5.6;16.6
1971;20;7.9;14.8
1971;26.5;7.1;17.4
1971;32.3;7;22.4
1971;34;9.7;19.4
1971;33;7;21
1971;28;16;21.6
1971;32;13.4;22.7
1971;28;18;21.5
1971;19.6;9.4;10.9
1971;20;8.3;13.6
1971;30.4;6.9;21
1971;36.5;15.8;24.3
1971;35.5;14;25.1
1971;36;16.5;25.5
1971;32.5;14.8;22.4
1971;29.3;14.9;22
1971;38;10;26.1
1971;30;17;21.2
1971;21.1;17.5;18.8
1972;26;17.6;21
1972;26.3;17.1;18.4
1972;27.9;16;20
1972;19.5;12.1;15.1
1972;20.1;7.7;14.3
1972;21;6.8;14.3
1972;23.5;5.3;14.1
1972;29;8;19.3
1972;33;12.9;24.1
1972;36.5;18.4;27.1
1972;31.8;16.2;22.4
1972;31.1;14;20.7
1972;33.7;11.2;24.4
1972;30;20.6;24.5
1972;31;16.5;23.3
1972;33;16;22.3
1972;28;14.5;19.5
1972;32.5;14.5;23.3
1972;32.5;17.3;22.8
1972;27;16.1;19.8
1972;31;15;22
1972;32.5;6.5;25.2
1972;33.5;17;24.6
1972;34;16.5;25.4
1972;36;17.5;25.1
1972;24;14.6;18.4
1972;26;12;20.4
1972;24;8.5;15.5
1972;33.6;8.5;21.3
1972;34;18;24.9
1972;35;15;24.6
1972;20;10;13.8
1972;28;8.5;16
1972;23;11;21.9
1972;37.1;13.5;23.2
1972;29;13.5;20.2
1972;25.5;10;16.5
1972;21.5;8.5;14.6
1972;27.5;11.5;20.5
1972;27.5;18.4;22
1972;31;13.7;20.8
1972;31;9.5;20.2
1972;29;11;19.4
1972;20.5;11.5;15.6
1972;24;5.1;15.3
1972;27.7;11;20.2
1972;33;16.2;22.7
1972;30;13.2;18.9
1972;19.8;4;13.1
1972;23.9;4.5;14.6
1972;31.3;12;21.9
1972;25;12.1;17.6
1972;19.5;10.6;14.6
1972;27;5.8;14.6
1972;26;11.2;21.7
1972;29;11.5;20.3
1972;29.6;13.9;21.8
1972;31.3;13.6;22.6
1972;31.6;15;23.9
1972;31.3;13.6;21.2
1972;33;15.3;23.3
1972;26;10.3;16.4
1972;24.8;8;14.8
1972;26.5;7;17.8
1972;31;14;21.2
1972;28.5;13.9;19.6
1972;17.8;7.4;13.3
1972;20.6;6.5;14.5
1972;25.5;12.2;17.2
1972;21;7.9;13.7
1972;25;7.6;19.1
1972;24.5;10;17.9
1972;28.5;13;21
1972;31.9;13;22.6
1972;31;16.2;21.9
1972;27;12.8;19.7
1972;21;9.4;15.8
1972;26;6.2;13.1
1972;32.5;8.7;21.2
1972;32;12.2;22.6
1972;31.6;14.7;24.5
1972;31;16.3;22.2
1972;21;14.5;16.7
1972;20;10.1;15.1
1972;17.5;6.1;10.3
1972;17.5;3.3;11.1
1972;15.5;9.5;14.1
1972;16.5;7.3;12.6
1972;21;7;13
1972;22.6;10;17
1972;20;6.3;13.6
1972;21;2.4;12.8
1972;27;6.5;16.1
1972;21.5;12.9;15.9
1972;20.5;5.4;13.1
1972;26.5;9.5;13.1
1972;26.5;11;17.4
1972;28.2;13.5;19
1972;26.6;16;18.4
1972;21.5;13;17.4
1972;18.5;12.7;15.3
1972;21.5;11.2;14.7
1972;25.6;11.1;16.8
1972;20.7;12.3;14.4
1972;14.8;6.6;10.4
1972;17.5;4.2;11
1972;20.5;4.5;13.8
1972;23;7.8;15.3
1972;23;8.5;15.7
1972;23.8;9.3;15.8
1972;26.2;12.5;17.9
1972;26;13;18.9
1972;25;12;18.7
1972;20.5;13.9;15.8
1972;15;11.8;13.1
1972;16.1;5.2;10.5
1972;18.5;3;10.1
1972;17.5;6.8;11.4
1972;19.8;7.5;11.9
1972;20;6.5;12.3
1972;22;8;14.2
1972;22.5;5;13.7
1972;21;8.8;14
1972;19;10.1;12.9
1972;14;3.8;8.8
1972;13;6.8;10.8
1972;16;5.9;14
1972;12.7;3;8.6
1972;14;5.1;9.9
1972;13.2;3.2;6.5
1972;13.4;3;9.8
1972;15.8;7;11.4
1972;18;9;15
1972;15.5;9.2;13.1
1972;20;10.2;14.6
1972;24;12.9;19.1
1972;19.5;10.3;13.8
1972;14.8;7.5;11
1972;13;4.7;8.3
1972;11.5;5.3;8
1972;15.1;6.9;11
1972;15.7;9;11.9
1972;12.4;4.6;8.1
1972;17;5;10.6
1972;13.5;4.5;8.8
1972;13.6;4;10.6
1972;12;3.5;7.5
1972;14.9;5.1;9.3
1972;17.5;6;12.9
1972;15.5;6.3;10.9
1972;18.5;5.5;13.2
1972;20.6;5.5;15.9
1972;12;5.1;7
1972;9;-0.1;3.7
1972;9.1;-2;3
1972;9;1.9;5.1
1972;10.7;0.6;5.6
1972;13;3.4;9.8
1972;11.5;6.5;10.1
1972;15;9;11.6
1972;13;7;9.4
1972;13;6.9;9.9
1972;13.3;6.3;10.3
1972;12.5;9.4;10.6
1972;14.8;10;12.7
1972;16.1;13;15.3
1972;18.6;9.2;15
1972;14.5;5.3;10.2
1972;18.5;4.5;10.5
1972;12.5;3.5;10.2
1972;13.5;-0.5;8.2
1972;12;3.7;7.3
1972;18;3.5;10.5
1972;16;7.2;12
1972;14.9;5.1;8.8
1972;17.9;6;11.6
1972;13.4;4.1;10.1
1972;10.5;0.1;5.1
1972;7;-0.1;2.8
1972;10;1;4
1972;7;0;3.9
1972;8.6;0.9;6.8
1972;11.3;6;9.8
1972;11.5;6;8.4
1972;9.5;1;5.1
1972;13.4;3;7.2
1972;13.4;3;7.8
1972;10;2.5;7.8
1972;9.5;2.5;4.9
1972;10;0;5
1972;10;3;6.5
1972;12.5;-0.2;6.1
1972;15;3;9.2
1972;12;2.6;6.1
1972;9.6;-1;4.2
1972;8;0.5;4.2
1972;12.8;2.6;6.1
1972;9.5;0.6;3.8
1972;9;-2;3.7
1972;13.6;3.5;8.2
1972;11.7;0;10.2
1972;11.1;7.2;8.6
1972;10.1;1;5.4
1972;17.8;2.9;9.9
1972;15.6;4.8;8.3
1972;13.8;0.6;7.1
1972;11.8;3.5;7.1
1972;10.2;-3.8;4.4
1972;13.3;3.5;8.8
1972;13.5;7;9.3
1972;13.5;-0.1;7.2
1972;14.3;1.7;10.4
1972;19.1;13.2;16.9
1972;19;9.5;15.3
1972;11;1.2;5.4
1972;5;-0.8;1.9
1972;8.5;0.5;3.4
1972;8.5;-2.9;2.9
1972;14;1;7.5
1972;13;3;6.6
1972;19;4.5;11.6
1972;15;8.5;12
1972;18.5;9.4;12.7
1972;17;4.5;10.2
1972;13.6;5;9.2
1972;13;6;9.7
1972;17;8;13.8
1972;16.7;12;14
1972;15.5;5.5;7
1972;8.5;5;6.2
1972;8;4.9;6.2
1972;11.6;5;9.4
1972;12.5;4;8.4
1972;13.5;0.9;7.1
1972;17.2;5;9.5
1972;16;4.3;9.6
1972;14;7.1;9.5
1972;11.5;5;6.3
1972;9.6;4.3;5.9
1972;9.6;3;5.8
1972;14.5;3;8.4
1972;9;4;6.4
1972;7.5;1.5;3.3
1972;6;0.5;3.8
1972;8;-0.1;3.3
1972;9.2;0;4.5
1972;14;0.5;6.7
1972;16.3;8.5;8.5
1972;14.5;5;9.6
1972;13;4.5;9.4
1972;16.7;8;12.3
1972;17;7.3;12
1972;14.9;7;10.6
1972;21.6;7.5;14.3
1972;15.5;4.1;13.2
1972;15.5;5;9.7
1972;15;4.5;8.7
1972;16.2;5;11.7
1972;16.5;11.5;14
1972;14.5;6;10.8
1972;16;4.5;10.3
1972;18.5;5;13
1972;16;6.2;12.1
1972;13.5;3;8.4
1972;16.5;0.5;10.5
1972;17.5;6;11.2
1972;21.5;9;15.1
1972;21.7;9.9;16
1972;16.8;4.2;9.6
1972;17;2;9.6
1972;17.8;4.5;13
1972;16.5;7.5;11.6
1972;16.6;6.4;11.2
1972;18.2;5.7;11.6
1972;14.5;5;7.4
1972;13.7;3;6.7
1972;12;1;6.7
1972;8.9;2.1;4.6
1972;13;-1;6.9
1972;11.7;1.5;6.3
1972;11;-1.1;5.5
1972;11.5;-1.1;6.9
1972;12;3.5;8
1972;18.2;1;10.4
1972;16;3;9.9
